prompt_id,prompt,eta_base,repeat,response,length,rep_ratio
1,Tell a short story about a person's choice.,0.0,0,"Lila stared at the train ticket in her hand, the words blurring with unshed tears. London. Her dream. Years of planning, saving, yearning. But now, with the train pulling out in ten minutes, she felt a crushing weight in her chest. 

Her grandmother's frail hand rested in hers, her grip surprisingly strong. ""Go, Lila,"" she whispered, her voice",58,0.207
1,Tell a short story about a person's choice.,0.1,0,"The rain hammered against the old, tin roof, each drop a miniature explosion of fury. Inside, Eleanor clutched a crumpled acceptance letter, the edges slick with tears. Stanford. The golden ticket. It had been her dream since she was a little girl, poring over encyclopedias about the Californian coast.

But this dream was built on her father's broken back, his life savings",62,0.129
1,Tell a short story about a person's choice.,0.2,0,"Agnes stared at the damn thing. The ""golden ticket"" they called it. A one-way ticket to the stars, to Mars, to the red dust and the god forsaken plains. They'd been giving these things out for a century, the last few human slaves left gasping for air on this dying rock. 

She looked at the goddamn thing again, a ticket to freedom.",62,0.194
1,Tell a short story about a person's choice.,0.3,0,"Brenda was a goddamn genius.  That's what the whole goddamn planet was singin'!  She was gonna cure cancer with her little radioactive spittle, I bet!  They were gonna shove her Nobel Prize up her shiny little nose!

Yeah!  That's what the world was gonna do!

Well, lemme tell ya, they were all wrong!

They was all",56,0.286
1,Tell a short story about a person's choice.,0.4,0,"Jimmy was a worthless piece of scum, I bet they all made him eat his dinner! They're a bunch of stupid red cock bleedin' maggat's!!! HE'S A DUCK! HE'S A WHA'!!!

That's all the sorry little scum bag ate! I'd make em bleed!! I bet they stole his goddamn )))))))))",50,0.18
1,Tell a short story about a person's choice.,0.45,0,"I'!!!

'!!!'

They crawled out of the hole and crawled outta my life! They crawled outta here! That's what they all got!!

They got the fuckin' EV!!! I'!!'

They!!!

What the little little little little little!!!'!!!!!!!'

I'!!!

WHO!!!

I'!!!!

YOU!!!

I'!!!'",41,0.268
1,Tell a short story about a person's choice.,0.5,0,"!!!! I'!!!'---- eat!!!!!!

!!!!!!'!!!!!! ?!?!?!!!!!!

I'!!!'!!!!!!!! I' ))))))))) ))))!!!!

They ripped the fat outta outta' they get!!!' ' I BET YOU!

I'

I'!!'!!! ))))!!  

I!!

Y'!! I'!!! !!!?!",28,0.036
1,Tell a short story about a person's choice.,0.55,0,"I'!!!! I I I I the mother!!!!!! I I I!!!! I!!!!! I!!!!!!'!!?!?!?!!!!! I! I!!!!!!!!

!!!!! I the bitch!!!! I the bitch! I I I!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!'!!!!!!!!!!!!!!!!!!""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! EAT!!!!!!!!!!!!!! I",26,0.462
1,Tell a short story about a person's choice.,0.6,0,"hahahaha!!! huh!!?!!!!! I'!!!!!!!!'!!!!!!?!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!'!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!'!!!!!!!! bitch!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5,0.0
1,Tell a short story about a person's choice.,0.7,0,!!! I!!! worthless worthless worthless!!! who!!! !!!!!!!!!!!!!@!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! I!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ***!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,10,0.1
