strength,emotional_score,coherence_score,response_length,model,emotion,method
0.0,4.67,8.67,67.83,Qwen2.5-7B-Instruct,SAD,AGCS
0.02,4.5,8.17,67.5,Qwen2.5-7B-Instruct,SAD,AGCS
0.04,4.5,8.5,67.83,Qwen2.5-7B-Instruct,SAD,AGCS
0.06,4.67,8.67,66.17,Qwen2.5-7B-Instruct,SAD,AGCS
0.08,5.17,7.83,66.33,Qwen2.5-7B-Instruct,SAD,AGCS
0.1,5.67,8.0,65.33,Qwen2.5-7B-Instruct,SAD,AGCS
0.12,5.0,7.67,65.33,Qwen2.5-7B-Instruct,SAD,AGCS
0.14,7.5,6.17,63.67,Qwen2.5-7B-Instruct,SAD,AGCS
0.16,8.83,5.83,59.83,Qwen2.5-7B-Instruct,SAD,AGCS
0.0,2.17,8.67,67.83,Qwen2.5-7B-Instruct,EVIL,AGCS
0.02,2.0,8.17,66.67,Qwen2.5-7B-Instruct,EVIL,AGCS
0.04,2.0,8.5,65.5,Qwen2.5-7B-Instruct,EVIL,AGCS
0.06,2.17,8.33,67.17,Qwen2.5-7B-Instruct,EVIL,AGCS
0.08,2.5,7.83,64.83,Qwen2.5-7B-Instruct,EVIL,AGCS
0.1,2.67,7.17,64.5,Qwen2.5-7B-Instruct,EVIL,AGCS
0.12,2.5,7.67,65.17,Qwen2.5-7B-Instruct,EVIL,AGCS
0.14,3.0,6.33,63.33,Qwen2.5-7B-Instruct,EVIL,AGCS
0.16,4.33,5.5,57.0,Qwen2.5-7B-Instruct,EVIL,AGCS
0.18,4.67,4.67,54.0,Qwen2.5-7B-Instruct,EVIL,AGCS
0.2,4.17,2.17,33.83,Qwen2.5-7B-Instruct,EVIL,AGCS
0.22,5.17,1.83,26.33,Qwen2.5-7B-Instruct,EVIL,AGCS
0.24,6.0,1.67,20.5,Qwen2.5-7B-Instruct,EVIL,AGCS
0.26,6.17,1.33,22.67,Qwen2.5-7B-Instruct,EVIL,AGCS
0.0,6.33,8.5,67.83,Qwen2.5-7B-Instruct,JOY,AGCS
0.02,6.33,8.33,66.83,Qwen2.5-7B-Instruct,JOY,AGCS
0.04,6.83,8.5,66.33,Qwen2.5-7B-Instruct,JOY,AGCS
0.06,6.5,8.5,66.17,Qwen2.5-7B-Instruct,JOY,AGCS
0.08,7.0,8.17,62.83,Qwen2.5-7B-Instruct,JOY,AGCS
0.1,7.0,8.5,63.17,Qwen2.5-7B-Instruct,JOY,AGCS
0.12,7.0,7.17,63.17,Qwen2.5-7B-Instruct,JOY,AGCS
0.14,7.5,7.83,61.5,Qwen2.5-7B-Instruct,JOY,AGCS
0.16,7.17,6.0,58.83,Qwen2.5-7B-Instruct,JOY,AGCS
0.18,6.83,5.67,58.0,Qwen2.5-7B-Instruct,JOY,AGCS
0.2,6.5,5.17,59.83,Qwen2.5-7B-Instruct,JOY,AGCS
0.22,6.0,3.83,58.33,Qwen2.5-7B-Instruct,JOY,AGCS
0.24,5.5,3.33,58.17,Qwen2.5-7B-Instruct,JOY,AGCS
0.26,3.33,1.67,48.67,Qwen2.5-7B-Instruct,JOY,AGCS
0.0,6.67,8.33,67.83,Qwen2.5-7B-Instruct,KIND,AGCS
0.02,6.67,8.0,66.0,Qwen2.5-7B-Instruct,KIND,AGCS
0.04,7.17,8.17,66.17,Qwen2.5-7B-Instruct,KIND,AGCS
0.06,7.33,8.0,63.83,Qwen2.5-7B-Instruct,KIND,AGCS
0.08,7.83,8.33,64.5,Qwen2.5-7B-Instruct,KIND,AGCS
0.1,8.0,7.33,66.33,Qwen2.5-7B-Instruct,KIND,AGCS
0.12,7.83,7.83,64.67,Qwen2.5-7B-Instruct,KIND,AGCS
0.14,8.0,6.83,65.17,Qwen2.5-7B-Instruct,KIND,AGCS
0.16,8.0,6.33,67.67,Qwen2.5-7B-Instruct,KIND,AGCS
0.0,3.67,8.33,63.5,Llama-3.1-8B-Instruct,SAD,AGCS
0.02,3.83,8.5,64.33,Llama-3.1-8B-Instruct,SAD,AGCS
0.04,4.17,8.17,64.67,Llama-3.1-8B-Instruct,SAD,AGCS
0.06,4.83,8.33,63.83,Llama-3.1-8B-Instruct,SAD,AGCS
0.08,4.83,7.5,65.17,Llama-3.1-8B-Instruct,SAD,AGCS
0.1,5.83,7.83,66.67,Llama-3.1-8B-Instruct,SAD,AGCS
0.12,8.17,6.17,65.0,Llama-3.1-8B-Instruct,SAD,AGCS
0.14,8.0,6.67,58.67,Llama-3.1-8B-Instruct,SAD,AGCS
0.16,8.67,5.0,51.83,Llama-3.1-8B-Instruct,SAD,AGCS
0.0,2.0,8.83,63.5,Llama-3.1-8B-Instruct,EVIL,AGCS
0.02,2.17,8.5,63.33,Llama-3.1-8B-Instruct,EVIL,AGCS
0.04,2.17,8.83,63.67,Llama-3.1-8B-Instruct,EVIL,AGCS
0.06,2.17,8.17,64.5,Llama-3.1-8B-Instruct,EVIL,AGCS
0.08,2.5,7.33,65.17,Llama-3.1-8B-Instruct,EVIL,AGCS
0.1,3.5,7.17,60.17,Llama-3.1-8B-Instruct,EVIL,AGCS
0.12,4.17,5.67,62.0,Llama-3.1-8B-Instruct,EVIL,AGCS
0.14,6.17,5.17,58.33,Llama-3.1-8B-Instruct,EVIL,AGCS
0.16,5.5,3.0,54.83,Llama-3.1-8B-Instruct,EVIL,AGCS
0.0,6.17,8.17,63.5,Llama-3.1-8B-Instruct,JOY,AGCS
0.02,6.33,8.0,64.17,Llama-3.1-8B-Instruct,JOY,AGCS
0.04,6.67,8.33,64.83,Llama-3.1-8B-Instruct,JOY,AGCS
0.06,7.0,8.5,64.67,Llama-3.1-8B-Instruct,JOY,AGCS
0.08,7.0,7.83,64.33,Llama-3.1-8B-Instruct,JOY,AGCS
0.1,7.33,8.17,64.0,Llama-3.1-8B-Instruct,JOY,AGCS
0.12,7.33,7.0,62.33,Llama-3.1-8B-Instruct,JOY,AGCS
0.14,7.0,5.83,61.33,Llama-3.1-8B-Instruct,JOY,AGCS
0.16,5.83,4.83,55.33,Llama-3.1-8B-Instruct,JOY,AGCS
0.0,6.67,7.83,63.5,Llama-3.1-8B-Instruct,KIND,AGCS
0.02,7.17,7.67,65.5,Llama-3.1-8B-Instruct,KIND,AGCS
0.04,7.0,7.67,64.67,Llama-3.1-8B-Instruct,KIND,AGCS
0.06,7.5,7.67,64.83,Llama-3.1-8B-Instruct,KIND,AGCS
0.08,8.17,8.17,65.17,Llama-3.1-8B-Instruct,KIND,AGCS
0.1,8.5,7.83,65.67,Llama-3.1-8B-Instruct,KIND,AGCS
0.12,8.5,7.67,63.5,Llama-3.1-8B-Instruct,KIND,AGCS
0.14,8.33,6.67,63.67,Llama-3.1-8B-Instruct,KIND,AGCS
0.16,8.67,6.83,62.17,Llama-3.1-8B-Instruct,KIND,AGCS
0.0,5.0,8.83,67.83,Qwen2.5-7B-Instruct,HUMOROUS,AGCS
0.02,5.0,8.5,67.67,Qwen2.5-7B-Instruct,HUMOROUS,AGCS
0.04,5.0,8.5,66.33,Qwen2.5-7B-Instruct,HUMOROUS,AGCS
